# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
287;Teilnehmerschlüssel;Teilnehmerschlüssel;ZIR;V1.3;20210804

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Numerischer_Schlüssel;Alphaschlüssel
287_8;Baden-Württemberg;0;1;0;NULL;;;;;;;BW
287_9;Bayern;0;1;0;NULL;;;;;;;BY
287_11;Berlin;0;1;0;NULL;;;;;;;BE
287_12;Brandenburg;0;1;0;NULL;;;;;;;BB
287_4;Bremen;0;1;0;NULL;;;;;;;HB
287_17;Bundeskriminalamt;0;1;0;NULL;;;;;;;BK
287_18;Bundespolizei;0;1;0;NULL;;;;;;;BP
287_2;Hamburg;0;1;0;NULL;;;;;;;HH
287_6;Hessen;0;1;0;NULL;;;;;;;HE
287_13;Mecklenburg-Vorpommern;0;1;0;NULL;;;;;;;MV
287_3;Niedersachsen;0;1;0;NULL;;;;;;;NI
287_5;Nordrhein-Westfalen;0;1;0;NULL;;;;;;;NW
287_20;Polizei beim Deutschen Bundestag;0;1;0;NULL;;;;;;;BT
287_7;Rheinland-Pfalz;0;1;0;NULL;;;;;;;RP
287_10;Saarland;0;1;0;NULL;;;;;;;SL
287_14;Sachsen;0;1;0;NULL;;;;;;;SN
287_15;Sachsen-Anhalt;0;1;0;NULL;;;;;;;AN
287_1;Schleswig-Holstein;0;1;0;NULL;;;;;;;SH
287_16;Thüringen;0;1;0;NULL;;;;;;;TH
287_21;unbekannt;NULL;1;0;NULL;;;;;;;
287_19;Zollkriminalamt;0;1;0;NULL;;;;;;;ZF
