# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
321;Bundesland;Bundesland;ZIR;V1.0;20161216

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
321_8;Baden-Württemberg;0;1;0;NULL;;;;;
321_9;Bayern;0;1;0;NULL;;;;;
321_11;Berlin;0;1;0;NULL;;;;;
321_12;Brandenburg;0;1;0;NULL;;;;;
321_4;Bremen;0;1;0;NULL;;;;;
321_2;Hamburg;0;1;0;NULL;;;;;
321_6;Hessen;0;1;0;NULL;;;;;
321_13;Mecklenburg-Vorpommern;0;1;0;NULL;;;;;
321_3;Niedersachsen;0;1;0;NULL;;;;;
321_5;Nordrhein-Westfalen;0;1;0;NULL;;;;;
321_7;Rheinland-Pfalz;0;1;0;NULL;;;;;
321_10;Saarland;0;1;0;NULL;;;;;
321_14;Sachsen;0;1;0;NULL;;;;;
321_15;Sachsen-Anhalt;0;1;0;NULL;;;;;
321_1;Schleswig-Holstein;0;1;0;NULL;;;;;
321_16;Thüringen;0;1;0;NULL;;;;;
